N,time_needed,number_of_rand_moves,quality,cost,percentage_exploration,percentage_expoitation,mem_usage,alg
4,0.03303528,703,65,277,0.0,1.0,0.18,A*
4,1.13290572,755,59,9193,0.0,1.0,6.55,A*
4,0.02932048,688,60,251,0.0,1.0,0.16,A*
4,0.28729057,722,52,2224,0.0,1.0,1.42,A*
4,2.53092146,757,57,15161,0.0,1.0,10.37,A*
4,0.44204354,642,68,3544,0.0,1.0,2.66,A*
5,61.15290117,1025,127,277422,0.003,0.997,400.55,A*
3,0.10392594,1000,28,160,0.0,1.0,53.32,A*
3,0.00695086,1000,28,98,0.0,1.0,0.03,A*
3,0.05564713,1000,28,712,0.0,1.0,0.22,A*
3,0.00863838,1000,20,123,0.0,1.0,0.03,A*
3,0.0077517,1000,20,113,0.0,1.0,0.03,A*
3,0.03844857,1000,30,541,0.0,1.0,0.16,A*
3,0.01410723,1000,22,212,0.0,1.0,0.05,A*
3,0.00554872,1000,20,73,0.0,1.0,0.02,A*
3,0.03096223,1000,32,408,0.0,1.0,0.14,A*
3,0.01653123,1000,24,213,0.0,1.0,0.05,A*
4,0.2062149,1000,78,1597,0.0,1.0,1.36,A*
4,0.04795074,1000,58,395,0.0,1.0,0.27,A*
4,0.17987871,1000,64,1326,0.0,1.0,1.09,A*
4,1.44927168,1000,76,11648,0.0,1.0,8.54,A*
4,0.33419466,1000,64,2862,0.0,1.0,1.95,A*
4,0.44950986,1000,68,3704,0.0,1.0,2.52,A*
4,0.06537724,1000,58,533,0.0,1.0,0.37,A*
4,0.26619291,1000,78,2238,0.0,1.0,1.68,A*
4,0.0747087,1000,58,606,0.0,1.0,0.4,A*
4,0.07997465,1000,56,659,0.0,1.0,0.43,A*
5,9.22848821,1000,116,43002,0.011,0.989,65.8,A*
5,114.22563481,1000,138,506421,0.002,0.998,782.65,A*
5,16.50036407,1000,128,78659,0.006,0.994,99.25,A*
5,0.46084738,1000,122,2271,0.181,0.819,2.5,A*
5,33.23636508,1000,118,149410,0.004,0.996,174.8,A*
5,61.54206467,1000,136,268021,0.003,0.997,404.9,A*
5,3.3415401,1000,120,16031,0.028,0.972,20.73,A*
5,3.95338702,1000,122,18116,0.024,0.976,26.09,A*
5,22.18689704,1000,136,96851,0.005,0.995,155.92,A*
5,42.25504375,1000,132,195656,0.003,0.997,234.36,A*
3,0.0236311,434,28,202,0.0,1.0,2.01,A*
4,0.21262789,685,55,1481,0.0,1.0,1.06,A*
5,103.00264716,1015,141,448328,0.002,0.998,608.91,A*
